Sanders, Ivy | Final Project | not submitted | * | * | 2024-2025
Zimmerman, Mia | Homework 1 | submitted | on time | B | 2022-2023
Turner, Miles | Homework 1 | submitted | late | D | 2022-2023
Grant, Parker | Quiz 1 | submitted | on time | D | 2022-2023
Mason, Eliana | Homework 2 | not submitted | * | * | 2024-2025
Foster, Shane | Quiz 1 | submitted | late | C | 2023-2024
Jennings, Reed | Homework 1 | submitted | on time | D | 2023-2024
King, Sariah | Homework 2 | not submitted | * | * | 2022-2023
Irons, Kiera | Homework 2 | submitted | on time | C | 2022-2023
Ashford, Peyton | Quiz 1 | submitted | late | B | 2024-2025
Benton, Cole | Homework 1 | submitted | late | D | 2022-2023
Radcliffe, Serena | Quiz 1 | submitted | on time | D | 2024-2025
Warner, Colt | Final Project | submitted | on time | A | 2023-2024
Ingram, Elise | Homework 2 | submitted | on time | A | 2024-2025
Ulrich, Mason | Homework 1 | submitted | on time | B | 2023-2024
Nelson, Carter | Homework 1 | submitted | on time | C | 2022-2023
Rowe, Jasper | Project 1 | submitted | on time | D | 2022-2023
Zara, Kade | Homework 2 | not submitted | * | * | 2024-2025
Dillon, Skylar | Final Project | submitted | late | C | 2024-2025
Vasquez, Adrian | Final Project | submitted | on time | A | 2022-2023
York, Selene | Homework 1 | submitted | late | A | 2022-2023
Nelson, Carter | Final Project | submitted | on time | C | 2022-2023
Foster, Shane | Final Project | submitted | on time | A | 2022-2023
Vasquez, Adrian | Homework 1 | submitted | on time | D | 2023-2024
Foster, Shane | Homework 2 | submitted | on time | C | 2022-2023
Sanders, Ivy | Final Project | not submitted | * | * | 2022-2023
Jennings, Reed | Quiz 1 | submitted | on time | C | 2024-2025
Gibson, Alana | Quiz 1 | submitted | late | D | 2023-2024
Evans, Priya | Final Project | submitted | on time | A | 2022-2023
Harris, Devin | Project 1 | submitted | on time | B | 2023-2024
Garner, Chloe | Quiz 1 | submitted | on time | D | 2022-2023
Elliott, Bria | Quiz 1 | submitted | late | B | 2024-2025
Grant, Parker | Homework 2 | not submitted | * | * | 2023-2024
Nixon, Jared | Project 1 | submitted | late | D | 2023-2024
Ashford, Peyton | Final Project | submitted | on time | A | 2023-2024
Yeats, Mira | Final Project | submitted | on time | B | 2022-2023
Quaid, Lilliana | Homework 1 | submitted | late | A | 2024-2025
Upton, Sawyer | Homework 1 | not submitted | * | * | 2024-2025
Reeves, Nolan | Final Project | submitted | on time | C | 2024-2025
King, Sariah | Final Project | not submitted | * | * | 2022-2023
Ulrich, Mason | Homework 2 | not submitted | * | * | 2023-2024
Evans, Priya | Project 1 | not submitted | * | * | 2024-2025
Valencia, Nora | Homework 1 | submitted | late | A | 2022-2023
Blaine, Nadia | Homework 2 | submitted | on time | C | 2022-2023
Carson, Amelia | Project 1 | submitted | on time | C | 2023-2024
Irons, Kiera | Final Project | submitted | on time | D | 2023-2024
Ingram, Elise | Project 1 | submitted | on time | B | 2023-2024
Quaid, Lilliana | Quiz 1 | not submitted | * | * | 2022-2023
Irons, Kiera | Final Project | submitted | late | C | 2022-2023
Xu, Amber | Homework 2 | submitted | late | A | 2022-2023
Nixon, Jared | Final Project | submitted | late | B | 2024-2025
Sanders, Ivy | Project 1 | submitted | late | A | 2024-2025
Zara, Kade | Homework 1 | submitted | late | C | 2023-2024
